sequence_id_1,sequence_id_2,similarity_score
BGC0000019.5,BGC0000019.5,100.0
WP_375275745.1,BGC0000019.5,0.0
WP_405707408.1,BGC0000019.5,0.0
WP_395697023.1,BGC0000019.5,63.16
WP_394032341.1,BGC0000019.5,0.0
XHV06635.1,BGC0000019.5,0.0
XJV75695.1,BGC0000019.5,0.0
WP_407866493.1,BGC0000019.5,0.0
WP_393988544.1,BGC0000019.5,0.0
WP_411903715.1,BGC0000019.5,0.0
WP_394040999.1,BGC0000019.5,0.0
WP_394076167.1,BGC0000019.5,0.0
XMF84248.1,BGC0000019.5,0.0
WP_395664523.1,BGC0000019.5,0.0
WP_412968760.1,BGC0000019.5,0.0
WP_138398174.1,BGC0000019.5,0.0
WP_407340944.1,BGC0000019.5,0.0
WP_374341810.1,BGC0000019.5,0.0
BGC0000004.3,BGC0000019.5,0.0
WP_404359873.1,BGC0000019.5,0.0
WP_393978746.1,BGC0000019.5,0.0
WP_407271027.1,BGC0000019.5,0.0
CAM3577162.1,BGC0000019.5,0.0
WP_374249988.1,BGC0000019.5,76.92
BGC0000014.5,BGC0000019.5,0.0
WP_209484166.1,BGC0000019.5,0.0
BGC0000002.5,BGC0000019.5,0.0
ABR83084.1,BGC0000019.5,0.0
BGC0000027.4,BGC0000019.5,0.0
WP_393991883.1,BGC0000019.5,60.0
WP_409562062.1,BGC0000019.5,0.0
BGC0000011.3,BGC0000019.5,0.0
WP_394111893.1,BGC0000019.5,0.0
XNO08232.1,BGC0000019.5,0.0
WP_391515705.1,BGC0000019.5,0.0
XKG22298.1,BGC0000019.5,0.0
WP_341081218.1,BGC0000019.5,0.0
XNO08231.1,BGC0000019.5,0.0
BGC0000028.5,BGC0000019.5,0.0
CAI8805946.1,BGC0000019.5,0.0
BGC0000021.5,BGC0000019.5,0.0
WP_405029742.1,BGC0000019.5,62.07
WP_407995214.1,BGC0000019.5,0.0
WP_394038837.1,BGC0000019.5,0.0
ARO18898.1,BGC0000019.5,0.0
BGC0000008.3,BGC0000019.5,0.0
WP_394034628.1,BGC0000019.5,0.0
BGC0000007.3,BGC0000019.5,0.0
WP_393984481.1,BGC0000019.5,76.92
WP_231883699.1,BGC0000019.5,0.0
WP_394008175.1,BGC0000019.5,0.0
BAT47512.1,BGC0000019.5,0.0
BGC0000006.3,BGC0000019.5,0.0
WP_409853016.1,BGC0000019.5,0.0
BGC0000017.5,BGC0000019.5,0.0
WP_394105113.1,BGC0000019.5,76.92
XHH54078.1,BGC0000019.5,0.0
BGC0000022.3,BGC0000019.5,0.0
WP_394091412.1,BGC0000019.5,0.0
WP_393975098.1,BGC0000019.5,76.92
BGC0000020.3,BGC0000019.5,0.0
WP_246736987.1,BGC0000019.5,0.0
WP_377874665.1,BGC0000019.5,0.0
WP_374374627.1,BGC0000019.5,0.0
WP_403409309.1,BGC0000019.5,0.0
WP_390290327.1,BGC0000019.5,0.0
WP_394058857.1,BGC0000019.5,0.0
WP_394946084.1,BGC0000019.5,0.0
UYT19774.1,BGC0000019.5,0.0
XOL52311.1,BGC0000019.5,0.0
XCP53806.1,BGC0000019.5,0.0
WP_415070495.1,BGC0000019.5,0.0
BGC0000010.3,BGC0000019.5,0.0
WP_402758273.1,BGC0000019.5,0.0
WP_400880729.1,BGC0000019.5,0.0
BGC0000023.5,BGC0000019.5,0.0
WP_148045554.1,BGC0000019.5,0.0
pdb|2N6Z|A,BGC0000019.5,0.0
WP_379130331.1,BGC0000019.5,62.5
